patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,PAM50
TCGA-A2-A25B-01,0.0,0.0,0.0,0.0,7.029005,0.0,25.461557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3057723,12.045306,0.0,11.519768,30.362453,8.477748,0.0,11.77066,0.0,5.431005,0.0,0.0,0.0,10.109869,0.0,0.0,0.0,1.0532422,41.746563,0.0,0.0,0.0,0.0,21.128986,0.0,0.0,9.707469,0.0,42.700333,0.0,0.0,0.0,8.158795,0.0,0.0,0.0,0.0,0.0,41.137707,0.0,0.0,LumB
TCGA-A2-A25C-01,0.0,0.0,0.0,0.0,14.923547,0.0,24.973593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.804558,0.0,7.122555,21.868223,17.12943,0.0,8.657536,0.0,6.9972844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7357433,23.191448,0.0,0.0,0.0,0.0,6.518801,0.0,0.0,17.187473,0.0,25.58691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.035717,0.0,0.0,LumB
TCGA-A2-A25D-01,0.0,0.0,0.0,0.0,15.700843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.664794,0.0,0.0,0.0,0.0,0.0,41.75781,1.601283,0.0,0.0,0.0,22.314678,26.505856,0.0,5.4184713,0.0,0.0,0.0,18.279596,0.0,0.0,0.0,10.915369,33.809364,0.0,0.0,0.0,0.0,21.444958,0.0,0.0,1.8234792,0.0,26.569807,0.0,0.0,0.0,0.0,0.0,14.213009,0.0,0.0,1.0642253,0.0,0.0,0.0,LumA
TCGA-A2-A25E-01,0.0,0.0,0.0,0.0,12.844453,0.0,32.624043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.345911,0.0,9.461416,25.822735,15.668588,0.0,7.116509,0.0,7.7019014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6228466,24.444925,0.0,0.0,0.0,0.0,5.485521,0.0,0.0,21.673283,0.0,25.942535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.10592,0.0,0.0,LumB
TCGA-A2-A25F-01,11.754879,0.0,0.0,0.0,8.39764,0.0,12.929812,11.914437,0.0,0.0,0.0,0.0,1.5083475,0.0,0.0,0.0,24.101353,0.0,0.0,0.0,0.0,0.0,9.981205,4.300507,0.0,11.1957655,0.0,9.6688,0.0,0.0,0.0,13.690269,0.0,0.0,12.948071,0.0,0.0,6.335435,20.457844,2.489211,0.0,0.0,13.629616,22.507164,0.0,0.0,0.0,0.0,0.0,17.91251,0.0,0.0,2.990957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal
TCGA-A2-A3KC-01,0.0,0.0,0.0,15.594912,10.287719,8.689217,2.4479613,4.4322166,8.002538,0.0,0.0,0.0,0.0,5.625038,0.0,0.0,7.9129443,0.0,12.101663,11.000788,1.1313708,0.0,14.551705,0.0,9.754735,20.732077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.968773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.024036,0.16862665,0.0,0.0,18.20502,0.0,3.5902681,0.0,17.606287,0.0,24.84479,0.0,15.56906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A2-A3KD-01,0.0,0.0,0.0,37.372383,8.977559,0.0,0.0,21.430368,12.022506,0.0,0.0,0.0,0.0,11.823405,0.0,0.0,0.0,0.0,26.839813,6.451975,0.0,0.0,0.0,0.0,0.0,5.1408944,0.0,0.0,0.0,0.0,22.867508,0.0,14.600209,0.0,6.19225,0.0,0.0,0.0,0.0,0.0,0.0,58.758472,0.0,0.0,0.0,46.785645,0.0,9.295859,0.0,3.0121853,0.0,69.16137,0.0,29.951452,0.0,0.0,0.0,13.032041,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A7-A0DA-01,0.0,0.0,31.084824,0.0,66.47104,0.0,0.0,0.0,0.0,0.0,15.438589,0.0,11.602731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.30856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.820778,87.28539,0.0,26.687485,27.276741,0.0,0.0,0.0,0.0,0.0,68.12481,0.0,0.0,114.73863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal
TCGA-A7-A13D-01,0.0,0.0,39.319458,0.0,113.71733,0.0,10.315166,0.0,0.0,25.88464,20.830906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.53188,0.0,0.0,0.0,0.0,0.0,5.6651335,0.0,77.836365,161.42561,0.0,64.773285,49.06301,0.0,0.0,0.0,0.0,0.0,143.60204,0.0,0.0,191.93854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.603838,0.0,0.0,Basal
TCGA-A7-A13E-01,0.0,0.0,26.876923,0.0,85.39314,0.0,0.0,0.0,0.0,0.0,12.7709255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.10385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.846825,124.4655,0.0,49.866634,49.223045,0.0,0.0,0.0,0.0,0.0,97.9887,0.0,0.0,156.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.030182,0.0,0.0,Basal
TCGA-A7-A13F-01,0.0,0.0,0.0,0.0,5.4409657,0.0,0.0,0.0,0.0,0.0,11.232736,3.5317595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.970463,0.0,3.7629278,16.386124,11.988191,11.44799,21.828285,0.0,0.0,0.0,0.0,0.0,13.465725,0.0,0.0,0.0,10.464671,40.914047,0.0,0.0,0.0,0.0,18.841356,0.0,0.0,5.6213517,0.0,25.840961,0.0,0.0,0.0,0.0,0.0,8.656802,0.0,0.0,0.0,11.845838,0.0,0.0,LumB
TCGA-A7-A26E-01,0.0,0.0,0.0,49.35752,11.958713,0.0,0.0,17.78202,8.902567,0.0,0.0,0.0,13.02663,13.247999,0.0,0.0,0.0,0.0,38.217693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.177231,25.63798,0.0,16.716528,0.0,13.50811,0.0,0.0,0.0,0.0,0.0,0.0,54.55784,0.0,0.0,0.0,39.566216,0.0,14.19872,0.0,0.0,0.0,62.845455,0.0,29.866915,0.0,0.0,0.0,20.48943,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A7-A26F-01,0.0,0.0,0.0,0.0,59.87899,0.0,14.831528,0.0,0.0,54.89055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.267185,0.0,0.0,0.0,18.784317,1.8590149,0.0,0.0,0.0,0.0,0.0,0.0,38.037807,40.22287,0.0,7.4045987,0.0,0.0,0.0,0.0,0.0,0.0,68.03386,0.0,0.0,84.6768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal
TCGA-A7-A26G-01,0.0,0.0,0.0,0.0,50.775204,0.0,2.7687042,4.046319,0.0,0.0,0.0,0.0,21.47084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.122722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.924987,39.200615,0.0,25.830542,35.914513,0.0,0.0,0.0,0.0,0.0,25.336733,0.0,0.0,61.217384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal
TCGA-A7-A26H-01,0.0,0.0,0.0,28.857368,7.166651,0.0,0.0,10.531073,13.858086,0.0,0.0,0.0,2.8367589,17.335566,0.0,0.0,0.0,0.0,15.535108,0.0,0.0,0.0,0.0,0.0,25.754791,14.915571,0.0,0.0,0.0,0.0,8.902202,0.0,3.5990748,4.81877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.806095,0.0,0.0,0.0,27.187311,0.0,5.6106725,0.0,0.0,0.0,39.10166,0.0,39.232803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A7-A26I-01,0.0,0.0,18.979755,0.0,103.014854,0.0,18.170424,0.0,0.0,22.038933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.57538,0.0,0.0,0.0,0.0,0.0,0.8177576,0.0,73.4406,133.37733,0.0,59.73027,51.59207,0.0,0.0,0.0,0.0,0.0,131.62062,0.0,0.0,169.48354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.643423,0.0,0.0,Basal
TCGA-A7-A2KD-01,0.0,0.0,0.0,0.0,32.759052,0.0,40.026207,0.0,0.0,0.0,0.0,10.48011,0.0,0.0,6.787446,0.0,0.0,0.0,40.021694,0.0,0.0,0.0,0.0,1.2658063,65.93434,34.78738,0.0,23.542507,0.0,17.275337,24.87421,0.0,23.798355,0.0,0.0,0.0,68.39548,0.0,45.11585,0.0,0.0,54.182716,0.0,0.0,0.0,0.0,7.292848,18.084225,0.0,9.257024,0.0,49.20046,0.0,0.0,0.0,0.0,0.0,22.828333,0.0,23.445963,0.0,5.9497237,5.216431,0.0,LumB
TCGA-A7-A3IZ-01,0.0,0.0,0.0,0.0,2.0265508,0.0,13.113959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6564274,0.0,11.421585,10.667039,0.0,0.0,0.0,0.0,10.950184,2.788596,0.0,0.0,11.4843645,19.696459,24.270048,0.0,1.172066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.313625,0.0,0.0,0.0,5.0863724,23.878336,0.0,0.0,17.678276,0.0,27.82336,0.0,0.0,0.0,0.0,0.0,6.815233,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A7-A3J0-01,0.0,0.0,0.0,22.719421,0.0,0.0,13.849923,8.678345,0.0,0.0,0.0,0.0,3.4063764,22.976301,0.0,0.0,0.0,0.390889,7.9413943,7.1680117,0.0,3.9119496,0.0,0.0,0.0,0.0,0.0,16.98706,0.0,0.0,0.0,4.269453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.982565,0.0,31.408182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.49074,0.0,6.865612,0.0,33.03172,0.0,0.0,0.0,0.0,0.0,0.0,1.517746,0.0,0.0,0.0,LumA
TCGA-A7-A3J1-01,0.0,0.0,0.0,23.177586,16.497519,9.902026,0.0,8.625851,11.091401,0.0,0.0,0.0,0.0,8.373659,0.0,0.0,8.231695,0.0,18.56633,11.38568,0.0,0.0,15.883049,0.0,16.873575,32.813103,0.0,0.0,0.0,0.0,0.5020565,0.0,0.0,11.744825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.28297,0.0,0.0,0.0,31.232168,0.0,5.484945,0.0,19.112234,0.0,41.162395,0.0,23.207098,0.0,0.0,0.0,2.7949247,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-AC-A23C-01,0.0,0.0,0.0,30.55221,14.387748,0.0,0.0,10.552183,2.4755802,0.0,0.0,0.0,16.373144,4.5565314,0.0,0.0,0.0,0.0,27.426418,0.0,0.0,0.0,0.0,0.0,0.0,1.2184322,0.0,0.0,0.0,0.022890128,14.69924,0.0,8.327383,0.0,0.0,0.0,4.8642197,0.0,0.0,0.0,0.0,14.561629,0.0,0.0,0.0,20.514074,0.0,12.073295,0.0,0.0,0.0,32.90618,0.0,15.023486,0.0,0.0,0.0,13.598786,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-AC-A23E-01,0.0,0.0,0.0,22.130129,15.359069,0.0,0.0,16.094316,1.0365952,0.0,0.0,0.0,2.874032,0.0,0.0,0.0,0.0,0.0,20.741743,0.47924042,0.0,0.0,0.0,0.0,11.139652,19.431614,0.0,0.0,0.0,0.0,15.76464,0.0,10.979354,0.0,0.0,0.0,2.3574305,0.0,0.0,0.0,0.0,17.983015,0.0,0.0,0.0,23.466164,0.0,0.0,0.0,11.173408,0.0,32.547523,0.0,0.0,0.0,0.0,0.0,11.282325,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-AC-A2B8-01,0.0,0.0,0.0,38.652912,27.275942,0.0,0.0,16.420952,8.9610615,0.0,0.0,0.0,0.0,16.863455,0.0,0.0,0.0,0.0,37.38802,10.1978,0.0,0.0,4.382119,0.0,32.59781,36.326096,0.0,0.0,0.0,0.0,14.185763,0.0,10.617112,5.006549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.54383,0.0,0.0,0.0,38.296715,0.0,5.104341,0.0,18.414976,0.0,61.23145,0.0,36.585445,0.0,0.0,0.0,6.677168,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-AC-A2BK-01,0.0,0.0,22.75598,0.0,89.87243,0.0,26.878706,0.0,0.0,33.81801,10.729196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.134598,0.0,0.0,0.0,125.90878,0.0,0.0,0.0,0.0,0.0,9.064664,0.0,55.288177,125.3317,0.0,56.789127,41.17094,0.0,0.0,0.0,0.0,0.0,114.39749,0.0,0.0,147.01164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.265402,0.0,0.0,Basal
TCGA-AC-A2BM-01,0.0,0.0,0.0,13.580229,16.965303,0.0,0.0,8.16148,0.0,0.0,5.679132,0.22512236,0.0,1.7956476,0.0,0.0,0.0,0.0,23.128504,3.9560127,0.0,0.0,0.0,0.0,26.097654,17.14687,0.0,0.0,0.0,0.0,19.330061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.93675,0.0,0.0,0.0,21.779924,0.0,3.6180139,0.0,16.366398,0.0,60.146214,0.0,9.5593195,0.0,0.0,0.0,12.890007,0.0,0.0,0.0,0.0,0.0,0.0,LumB
TCGA-AC-A2FB-01,0.0,0.0,0.0,28.87876,14.22166,0.0,0.0,9.987007,7.5436254,0.0,0.0,0.0,0.0,15.912537,0.0,0.0,0.0,0.0,24.014751,0.0,0.0,0.0,0.0,0.0,11.21429,10.506585,0.0,0.0,0.0,0.0,21.80385,0.0,14.806347,4.2779813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.204613,0.0,0.0,0.0,33.24286,0.0,4.9885964,0.0,0.0,0.0,46.05868,0.0,31.419252,0.0,0.0,0.0,4.5650983,0.0,0.0,0.0,0.0,0.0,0.0,LumA
